Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-06-30,392.498,392.893,392.498,392.498,24.466938297227
2004-07-01,397.029,397.029,392.498,392.498,2.2242671179297
2004-07-02,392.498,398.9,392.498,398.9,275.80912262328
2004-07-05,398.9,398.9,398.9,398.9,54.494544389279
2004-07-06,398.9,398.9,391.751,398.154,213.52964332126
2004-07-07,391.751,397.399,391.373,397.399,2585.7105245933
2004-07-08,397.399,397.399,397.399,397.399,197.95977349575
2004-07-09,397.029,397.029,389.126,389.126,311.39739651016
2004-07-12,389.126,391.373,389.126,391.373,36.700407445841
2004-07-13,392.893,392.893,392.893,392.893,132.34389351682
2004-07-15,392.893,395.897,392.893,392.893,550.50611168762
2004-07-16,397.399,398.53,396.643,396.643,62.279479302033
2004-07-20,392.893,392.893,391.373,391.373,64.503746419963
2004-07-21,389.126,391.373,389.126,391.373,123.4468250451
2004-07-23,391.373,391.373,384.613,386.105,433.7320879963
2004-07-26,383.847,383.847,383.847,383.847,123.4468250451
2004-07-27,383.093,383.093,383.093,383.093,4.4485342358595
2004-07-28,384.613,384.613,381.591,381.591,17.794136943438
2004-07-29,381.591,383.093,376.331,383.093,153.47443113715
2004-07-30,383.847,383.847,383.847,383.847,190.174838583
2004-08-02,376.331,376.331,374.073,376.331,19108.678810134
2004-08-03,377.077,380.089,376.331,380.089,2851.5104451859
2004-08-04,380.089,383.847,380.089,382.346,192.39910570092
2004-08-05,384.243,389.126,383.093,383.093,118.99829080924
2004-08-06,387.616,387.616,383.847,383.847,6709.5017612351
2004-08-09,383.847,383.847,377.077,380.089,13387.863782819
2004-08-10,380.089,380.089,380.089,380.089,2.2242671179297
2004-08-11,377.077,377.077,360.128,360.128,87.858551158225
2004-08-12,368.051,371.071,365.047,371.071,282.48192397707
2004-08-13,368.814,368.814,368.814,368.814,136.79242775267
2004-08-16,368.814,373.318,338.709,373.318,2855.9589794218
2004-08-17,374.073,375.576,373.318,373.318,11973.229895816
2004-08-18,375.576,375.576,375.576,375.576,87.858551158225
2004-08-19,376.331,379.722,368.814,379.722,343.64926972015
2004-08-20,379.334,379.334,379.334,379.334,255.79071856192
2004-08-23,379.334,379.334,379.334,379.334,27.803338974122
2004-08-24,379.334,379.334,379.334,379.334,953.0984600329
2004-08-26,378.21,379.334,378.21,379.334,35.588273886876
2004-08-27,373.318,381.205,373.318,376.331,58.943078625138
2004-08-30,376.331,379.334,376.331,379.334,34.476140327911
2004-08-31,380.843,380.843,376.331,376.331,13.345602707579
2004-09-01,376.331,380.476,376.331,376.331,12.233469148614
2004-09-02,376.331,376.331,376.331,376.331,26.691205415157
2004-09-03,380.089,380.843,378.587,378.587,26.691205415157
2004-09-06,376.331,376.331,376.331,376.331,8.897068471719
2004-09-08,376.331,376.331,374.821,374.821,86.74641759926
2004-09-09,374.821,378.587,374.821,374.821,26.691205415157
2004-09-10,373.318,383.847,373.318,380.089,1067.6482166062
2004-09-13,380.843,386.105,380.843,384.613,83.410016922365
2004-09-14,384.613,394.387,380.843,388.371,6257.9755362953
2004-09-15,398.9,398.9,389.126,391.373,62.279479302033
2004-09-16,391.751,402.677,391.751,393.253,504.90863577006
2004-09-17,397.399,406.435,394.387,394.387,90.082818276155
2004-09-20,400.419,400.419,393.63,396.643,124.55895860406
2004-09-21,401.921,401.921,396.643,397.767,4364.0120853782
2004-09-22,398.53,398.53,395.15,395.15,62.279479302033
2004-09-23,397.767,402.677,397.767,397.767,4980.1340770446
2004-09-24,397.399,397.399,397.399,397.399,42.261075240666
2004-09-27,401.534,406.435,400.788,400.788,216.86604399815
2004-09-28,395.897,409.438,395.897,402.677,574.97304998484
2004-09-29,403.045,410.185,398.9,410.185,579.42158422069
2004-09-30,413.206,413.961,410.185,412.837,369.22834157633
2004-10-01,408.691,408.691,402.677,408.691,553.84251236451
2004-10-04,404.169,429.004,404.169,421.486,1575.8932530533
2004-10-05,430.137,434.282,429.004,434.282,470.43249544214
2004-10-06,441.808,447.824,435.793,435.793,1533.6321778126
2004-10-07,435.793,435.793,427.512,427.512,749.57801874233
2004-10-08,422.252,443.697,422.252,437.294,673.95293673272
2004-10-11,444.065,444.065,439.543,439.543,534.93624186211
2004-10-12,437.294,437.294,437.294,437.294,1356.8029419371
2004-10-13,437.294,447.824,437.294,443.302,1670.4246055653
2004-10-14,451.592,451.592,442.564,442.564,448.18982426284
2004-10-15,442.564,447.824,438.049,441.808,458.19902629353
2004-10-18,446.709,448.957,443.302,443.302,651.71026555342
2004-10-19,444.065,466.265,444.065,447.824,1521.3987086639
2004-10-20,447.824,450.836,447.824,447.824,4511.9258487205
2004-10-21,447.824,462.886,447.824,450.072,1902.8605193889
2004-10-22,459.126,459.126,447.824,451.592,6231.2843308801
2004-10-25,444.065,450.836,444.065,444.822,568.30024863105
2004-10-26,447.824,447.824,447.824,447.824,5318.22267897
2004-10-27,444.065,444.065,444.065,444.065,28.915472533087
2004-10-28,450.836,450.836,447.824,447.824,255.79071856192
2004-10-29,450.072,455.359,448.588,449.713,5701.9087568129
2004-11-02,456.114,456.483,451.592,452.337,204.63257484954
2004-11-03,452.337,459.126,452.337,454.604,2473.3850351378
2004-11-04,459.126,459.126,453.848,453.848,46.709609476524
2004-11-05,455.359,462.886,454.604,454.604,2604.6167950958
2004-11-08,455.359,466.265,455.359,456.114,73.400814891682
2004-11-09,455.719,465.896,455.719,456.483,85.634284040295
2004-11-10,467.777,477.946,453.848,457.615,781.8298919523
2004-11-12,464.387,464.387,430.533,437.294,7437.9492423571
2004-11-15,440.298,440.298,429.004,431.261,1315.6540002554
2004-11-16,426.765,426.765,401.165,414.708,3976.9896068584
